Region,Description
CHB,"Han Chinese in Beijing, China"
JPT,"Japanese in Tokyo, Japan"
CHS,"Han Chinese South"
CDX,"Chinese Dai in Xishuangbanna, China"
KHV,"Kinh in Ho Chi Minh City, Vietnam"
CEU,"Utah residents with Northern and Western European ancestry"
TSI,"Toscani in Italia"
GBR,"British in England and Scotland"
FIN,"Finnish in Finland"
IBS,"Iberian populations in Spain"
YRI,"Yoruba in Ibadan, Nigeria"
LWK,"Luhya in Webuye, Kenya"
GWD,"Gambian in Western Division, The Gambia"
MSL,"Mende in Sierra Leone"
ESN,"Esan in Nigeria"
ASW,"African Ancestry in Southwest US"
ACB,"African Caribbean in Barbados"
MXL,"Mexican Ancestry in Los Angeles, California"
PUR,"Puerto Rican in Puerto Rico"
CLM,"Colombian in Medellin, Colombia"
PEL,"Peruvian in Lima, Peru"
GIH,"Gujarati Indian in Houston, TX"
PJL,"Punjabi in Lahore, Pakistan"
BEB,"Bengali in Bangladesh"
STU,"Sri Lankan Tamil in the UK"
ITU,"Indian Telugu in the UK"
